visit_id,member_id,visit_date,check_in_time,check_out_time
1,201,01-01-2024,06:10:00,07:05:00
2,541,01-01-2024,05:42:00,06:27:00
3,169,01-01-2024,09:39:00,10:34:00
4,374,01-01-2024,06:05:00,06:50:00
5,52,01-01-2024,06:12:00,06:42:00
6,83,01-01-2024,08:54:00,09:49:00
7,215,01-01-2024,08:56:00,09:26:00
8,420,01-01-2024,07:22:00,07:52:00
9,51,01-01-2024,07:31:00,07:56:00
10,170,01-01-2024,06:26:00,07:21:00
11,464,01-01-2024,07:55:00,08:40:00
12,61,01-01-2024,06:45:00,07:15:00
13,591,01-01-2024,08:32:00,08:57:00
14,338,01-01-2024,05:42:00,06:17:00
15,305,01-01-2024,06:31:00,06:56:00
16,360,01-01-2024,08:08:00,08:53:00
17,526,01-01-2024,06:55:00,07:30:00
18,151,01-01-2024,05:36:00,06:11:00
19,603,01-01-2024,09:47:00,10:42:00
20,53,01-01-2024,09:30:00,10:15:00
21,361,01-01-2024,09:32:00,10:17:00
22,462,01-01-2024,07:04:00,07:49:00
23,91,01-01-2024,06:30:00,07:05:00
24,394,01-01-2024,06:45:00,07:10:00
25,626,01-01-2024,06:23:00,07:08:00
26,123,01-01-2024,09:08:00,10:03:00
27,234,01-01-2024,06:01:00,06:36:00
28,52,01-01-2024,08:04:00,08:49:00
29,444,01-01-2024,09:11:00,10:06:00
30,319,01-01-2024,09:01:00,09:31:00
31,444,02-01-2024,08:03:00,08:38:00
32,165,02-01-2024,08:18:00,08:43:00
33,44,02-01-2024,07:36:00,08:31:00
34,533,02-01-2024,07:38:00,08:23:00
35,51,02-01-2024,10:00:00,10:25:00
36,617,02-01-2024,07:45:00,08:20:00
37,517,02-01-2024,09:37:00,10:22:00
38,38,02-01-2024,06:03:00,06:48:00
39,546,02-01-2024,07:22:00,08:07:00
40,382,02-01-2024,05:44:00,06:39:00
41,324,02-01-2024,05:28:00,06:13:00
42,306,02-01-2024,08:23:00,08:58:00
43,366,02-01-2024,09:55:00,10:50:00
44,61,02-01-2024,08:01:00,08:46:00
45,541,02-01-2024,07:12:00,07:57:00
46,432,02-01-2024,09:12:00,09:37:00
47,219,02-01-2024,07:49:00,08:14:00
48,134,02-01-2024,09:58:00,10:28:00
49,53,02-01-2024,06:11:00,06:36:00
50,469,02-01-2024,08:29:00,09:24:00
51,57,02-01-2024,07:28:00,07:53:00
52,157,02-01-2024,07:29:00,07:59:00
53,342,02-01-2024,06:29:00,07:14:00
54,347,02-01-2024,09:57:00,10:52:00
55,483,02-01-2024,05:24:00,06:09:00
56,43,03-01-2024,08:54:00,09:24:00
57,489,03-01-2024,05:54:00,06:29:00
58,191,03-01-2024,08:28:00,09:03:00
59,627,03-01-2024,07:33:00,08:08:00
60,478,03-01-2024,06:48:00,07:43:00
61,546,03-01-2024,09:22:00,10:17:00
62,628,03-01-2024,05:58:00,06:23:00
63,574,03-01-2024,08:12:00,08:57:00
64,179,03-01-2024,05:27:00,06:02:00
65,93,03-01-2024,05:31:00,05:56:00
66,417,03-01-2024,08:26:00,09:11:00
67,633,03-01-2024,07:53:00,08:23:00
68,592,03-01-2024,09:06:00,09:41:00
69,400,03-01-2024,07:22:00,07:57:00
70,269,03-01-2024,05:21:00,06:06:00
71,289,03-01-2024,08:58:00,09:33:00
72,262,03-01-2024,05:33:00,06:08:00
73,641,03-01-2024,08:20:00,08:55:00
74,169,03-01-2024,06:11:00,06:56:00
75,106,03-01-2024,08:21:00,08:51:00
76,525,03-01-2024,06:40:00,07:35:00
77,406,03-01-2024,09:00:00,09:45:00
78,592,03-01-2024,07:06:00,07:51:00
79,369,03-01-2024,06:31:00,07:16:00
80,247,03-01-2024,06:49:00,07:34:00
81,334,03-01-2024,06:03:00,06:28:00
82,25,03-01-2024,05:28:00,05:53:00
83,515,03-01-2024,06:49:00,07:19:00
84,623,04-01-2024,08:58:00,09:43:00
85,454,04-01-2024,07:58:00,08:33:00
86,97,04-01-2024,09:31:00,10:06:00
87,404,04-01-2024,06:42:00,07:17:00
88,332,04-01-2024,08:40:00,09:15:00
89,413,04-01-2024,07:55:00,08:25:00
90,591,04-01-2024,09:19:00,10:04:00
91,153,04-01-2024,09:19:00,09:54:00
92,387,04-01-2024,09:37:00,10:02:00
93,629,04-01-2024,08:34:00,09:29:00
94,119,04-01-2024,06:42:00,07:37:00
95,182,04-01-2024,08:03:00,08:28:00
96,547,04-01-2024,08:13:00,08:43:00
97,145,04-01-2024,08:39:00,09:34:00
98,591,04-01-2024,09:52:00,10:27:00
99,558,04-01-2024,08:31:00,09:06:00
100,492,04-01-2024,09:00:00,09:55:00
101,597,04-01-2024,06:34:00,07:29:00
